Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
República Dominicana,DOM,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,12.3,,,6.3,,,,5.3,5.3,,,5.3,4.4,5.7,6.8,8.9,6.1,5,4.9,4.6,4.1,3.7,3.4,3.4,2.9,2.5,2.1,1.9,1.1,0.7,0.7,1,0.9,0.7,0.9,0.6
Argelia,DZA,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,6.9,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inicial del dividendo demográfico,EAR,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia oriental y el Pacífico,EAS,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,47,45.1,43.8,41.9,39.1,43.1,42.2,41.4,40.2,39,35.9,33.4,31.1,30.9,31.5,29.7,28.2,26.6,24.2,21.7,19.6,17.1,16.4,14.9,13.9,12.7,11.2,9.3,8.1,5.6,4.8,3.9,3.3,2.8,2.3,1.9,1.8,1.7,1.6,1.5,1.4
Europa y Asia central (excluido altos ingresos),ECA,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa y Asia central,ECS,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.6,2.9,3.5,3.9,4.8,4.6,4.8,4.4,4.6,5.6,5.1,4.6,4.1,4,3.5,3.4,3,2.8,2.5,2.5,2.5,2.4,2.4,0.8,0.8,0.8,0.7,0.7,0.6,0.5,0.6,0.5,0.5,0.4,0.4
Ecuador,ECU,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,14.8,12.9,,,13.7,18.1,22.3,,,12.3,12.7,9.9,7.1,7.2,6.6,6.1,5,4.3,3.9,3,2.5,3.1,3.2,2.8,3,3.1,5.2,3.4,2.9,3.1,4.1
"Egipto, República Árabe de",EGY,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,3.9,,,,1.6,,,,,3.4,,,,3,,1.6,,1.1,,,1.1,,2.6,,1.8,,1.2,,,
Zona del Euro,EMU,"Brecha de pobreza de 4,20 dólares al día (PPA de 2021) (%)",SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
